iter	Passed	Remaining
541	3965	3350
542	3972	3343
543	3979	3335
544	3986	3328
545	3994	3321
546	4001	3313
547	4009	3306
548	4015	3298
549	4023	3292
550	4030	3284
551	4038	3277
552	4045	3269
553	4051	3261
554	4058	3254
555	4065	3246
556	4073	3240
557	4080	3232
558	4088	3225
559	4094	3217
560	4101	3209
561	4108	3202
562	4115	3194
563	4122	3186
564	4129	3179
565	4136	3172
566	4143	3164
567	4150	3156
568	4157	3148
569	4163	3141
570	4171	3134
571	4178	3126
572	4185	3119
573	4192	3111
574	4199	3104
575	4207	3096
576	4213	3089
577	4221	3081
578	4227	3074
579	4235	3067
580	4242	3059
581	4249	3052
582	4256	3044
583	4263	3036
584	4271	3030
585	4278	3022
586	4286	3015
587	4292	3007
588	4299	3000
589	4306	2992
590	4313	2985
591	4320	2977
592	4327	2970
593	4335	2963
594	4342	2955
595	4349	2948
596	4356	2941
597	4364	2933
598	4371	2926
599	4379	2919
600	4386	2912
601	4395	2905
602	4402	2898
603	4409	2890
604	4416	2883
605	4423	2875
606	4430	2868
607	4437	2861
608	4444	2853
609	4451	2846
610	4457	2838
611	4466	2831
612	4472	2823
613	4481	2817
614	4489	2810
615	4497	2803
616	4505	2796
617	4513	2790
618	4522	2783
619	4531	2777
620	4539	2770
621	4547	2763
622	4555	2756
623	4563	2750
624	4570	2742
625	4577	2735
626	4585	2727
627	4591	2719
628	4599	2712
629	4606	2705
630	4619	2701
631	4626	2693
632	4633	2686
633	4639	2678
634	4647	2671
635	4654	2664
636	4662	2656
637	4669	2649
638	4676	2641
639	4682	2634
640	4689	2626
641	4698	2619
642	4705	2612
643	4713	2605
644	4720	2597
645	4727	2590
646	4734	2583
647	4741	2575
648	4748	2568
649	4755	2560
650	4763	2553
651	4770	2546
652	4778	2539
653	4785	2531
654	4792	2524
655	4799	2516
656	4806	2509
657	4813	2501
658	4820	2494
659	4828	2487
660	4835	2480
661	4843	2473
662	4850	2465
663	4858	2458
664	4864	2450
665	4871	2442
666	4879	2435
667	4885	2428
668	4893	2421
669	4900	2413
670	4908	2406
671	4914	2398
672	4922	2391
673	4929	2384
674	4935	2376
675	4942	2369
676	4949	2361
677	4956	2354
678	4963	2346
679	4969	2338
680	4977	2331
681	4984	2324
682	4992	2316
683	4998	2309
684	5006	2302
685	5013	2294
686	5020	2287
687	5027	2279
688	5034	2272
689	5041	2264
690	5048	2257
691	5056	2250
692	5063	2243
693	5070	2235
694	5076	2227
695	5083	2220
696	5091	2213
697	5098	2206
698	5106	2198
699	5112	2191
700	5120	2184
701	5127	2176
702	5134	2169
703	5141	2161
704	5149	2154
705	5157	2147
706	5164	2140
707	5172	2133
708	5178	2125
709	5186	2118
710	5193	2110
711	5201	2104
712	5208	2096
713	5215	2089
714	5222	2081
715	5229	2074
716	5237	2067
717	5244	2059
718	5252	2052
719	5259	2045
720	5266	2038
721	5273	2030
722	5280	2022
723	5287	2015
724	5293	2008
725	5301	2001
726	5308	1993
727	5316	1986
728	5323	1979
729	5330	1971
730	5337	1964
731	5344	1956
732	5352	1949
733	5360	1942
734	5368	1935
735	5375	1928
736	5383	1921
737	5390	1913
738	5397	1906
739	5405	1899
740	5412	1891
741	5420	1884
742	5427	1877
743	5434	1869
744	5441	1862
745	5449	1855
746	5455	1847
747	5463	1840
748	5469	1833
749	5476	1825
750	5483	1818
751	5490	1810
752	5497	1803
753	5504	1795
754	5512	1788
755	5520	1781
756	5527	1774
757	5535	1767
758	5543	1760
759	5551	1753
760	5558	1745
761	5566	1738
762	5574	1731
763	5582	1724
764	5590	1717
765	5598	1710
766	5606	1703
767	5614	1696
768	5622	1688
769	5630	1681
770	5637	1674
771	5645	1667
772	5651	1659
773	5659	1652
774	5666	1645
775	5673	1637
776	5680	1630
777	5687	1622
778	5694	1615
779	5701	1608
780	5708	1600
781	5715	1593
782	5722	1585
783	5729	1578
784	5736	1571
785	5743	1563
786	5750	1556
787	5758	1549
788	5765	1541
789	5772	1534
790	5780	1527
791	5786	1519
792	5794	1512
793	5801	1505
794	5808	1497
795	5817	1490
796	5824	1483
797	5833	1476
798	5840	1469
799	5847	1461
800	5854	1454
801	5861	1447
802	5869	1439
803	5876	1432
804	5883	1425
805	5890	1417
806	5897	1410
807	5905	1403
808	5912	1395
809	5918	1388
810	5926	1381
811	5934	1373
812	5942	1366
813	5949	1359
814	5956	1352
815	5963	1344
816	5970	1337
817	5977	1330
818	5984	1322
819	5992	1315
820	5998	1307
821	6007	1300
822	6020	1294
823	6026	1287
824	6033	1279
825	6041	1272
826	6047	1265
827	6055	1257
828	6061	1250
829	6069	1243
830	6076	1235
831	6082	1228
832	6090	1220
833	6096	1213
834	6104	1206
835	6111	1198
836	6118	1191
837	6125	1184
838	6132	1176
839	6140	1169
840	6146	1162
841	6155	1155
842	6163	1147
843	6171	1140
844	6178	1133
845	6185	1125
846	6192	1118
847	6200	1111
848	6206	1103
849	6213	1096
850	6220	1089
851	6227	1081
852	6236	1074
853	6242	1067
854	6249	1059
855	6257	1052
856	6263	1045
857	6271	1037
858	6278	1030
859	6286	1023
860	6293	1016
861	6301	1008
862	6307	1001
863	6314	993
864	6321	986
865	6328	979
866	6335	971
867	6342	964
868	6350	957
869	6357	949
870	6364	942
871	6371	935
872	6379	927
873	6386	920
874	6393	913
875	6401	906
876	6409	898
877	6417	891
878	6424	884
879	6434	877
880	6442	870
881	6450	863
882	6459	855
883	6471	849
884	6480	842
885	6488	834
886	6497	827
887	6507	820
888	6517	813
889	6524	806
890	6535	799
891	6544	792
892	6554	785
893	6564	778
894	6576	771
895	6586	764
896	6595	757
897	6605	750
898	6613	742
899	6621	735
900	6631	728
901	6640	721
902	6650	714
903	6661	707
904	6672	700
905	6683	693
906	6691	686
907	6702	679
908	6711	671
909	6719	664
910	6727	657
911	6735	649
912	6744	642
913	6763	636
914	6784	630
915	6792	622
916	6805	615
917	6816	608
918	6826	601
919	6834	594
920	6843	586
921	6851	579
922	6860	572
923	6868	564
924	6876	557
925	6884	550
926	6892	542
927	6900	535
928	6907	527
929	6915	520
930	6924	513
931	6932	505
932	6940	498
933	6949	491
934	6956	483
935	6964	476
936	6971	468
937	6980	461
938	6987	453
939	6996	446
940	7003	439
941	7011	431
942	7019	424
943	7027	416
944	7034	409
945	7043	402
946	7050	394
947	7059	387
948	7067	379
949	7075	372
950	7082	364
951	7091	357
952	7099	350
953	7107	342
954	7114	335
955	7122	327
956	7130	320
957	7137	312
958	7146	305
959	7153	298
960	7161	290
961	7168	283
962	7177	275
963	7184	268
964	7194	260
965	7201	253
